sender_id,receiver_id,amount,timestamp,location,device_id
801,600,25000,2026-06-23 12:00:00,Kolkata,D-Web-10
802,600,30000,2026-06-23 12:02:00,Patna,D-Web-11
803,600,15000,2026-06-23 12:04:00,Ranchi,D-Web-12
804,600,40000,2026-06-23 12:06:00,Bhubaneswar,D-Web-13
805,600,35000,2026-06-23 12:08:00,Guwahati,D-Web-14
806,600,20000,2026-06-23 12:10:00,Siliguri,D-Web-15
600,999,160000,2026-06-23 12:15:00,Delhi,D-Android-99
710,711,1500,2026-06-23 13:00:00,Mumbai,D-iPhone-10
711,712,1200,2026-06-23 14:00:00,Pune,D-iPhone-11
713,714,3000,2026-06-23 15:00:00,Bengaluru,D-Android-21
